gene_name,gmcsf_1,gmcsf_2,gmcsf_3,gmcsf_4,gmcsf_5,gmcsf_6,mcf7_1,mcf7_2,mcf7_3,mcf7_4,mcf7_5,mcf7_6,mda231_1,mda231_2,mda231_3,mda231_4,mda231_5,mda231_6,t47d_1,t47d_2,t47d_3,t47d_4,t47d_5,t47d_6,uivc1_1,uivc1_2,uivc1_3,uivc1_4,uivc1_5,uivc1_6,uivc4_1,uivc4_2,uivc4_3,uivc4_4,uivc4_5,uivc4_6
HNRNPM,10.1901585,11.49754425,9.46901,8.59423175,7.5799175,9.5083735,10.51426825,10.2090965,11.14528775,8.5937255,14.98532725,15.287721,6.05973275,7.28596275,9.16194825,0.83002925,6.75706725,3.88079875,8.21013,9.5013375,9.72873025,9.4957915,9.63848725,6.007735,9.83727425,6.735217,11.02018125,8.48022625,4.5211015,8.74155175,4.730295,6.976241,1.0102905,4.44743925,5.3088085,10.0348145
HNRNPR,6.13645025,6.58402125,5.9452595,6.3499705,4.0009085,8.066943,4.9194895,6.43545375,1.89810975,5.1932315,5.65376475,6.5250585,2.95282625,6.4235095,2.82388025,3.73075075,3.04303,3.13546125,6.4208925,4.79649725,3.666445,2.3054205,5.31822575,4.568444,3.8646635,5.7029545,3.89232475,3.9862255,4.316524,5.00503825,4.09290025,6.129412,4.1720025,3.348334,4.53776,5.501037
HNRNPU,7.240655714,7.679314143,8.03885,6.701913571,9.822911286,7.635150571,5.520948857,6.792113857,6.147596571,6.935366143,7.246851571,7.059272143,5.392570714,5.105341143,6.000647857,4.918516857,6.148027143,5.11516,6.016959143,6.983692429,5.939959,9.682688286,7.823159857,9.676785,5.084689571,6.684190571,7.435668429,8.879790714,6.696510143,7.051258714,5.812788857,6.208043571,6.816456143,6.738799571,6.280840286,5.682809714
HNRNPUL1,1.9980992,2.004149,1.5712374,1.8535686,1.6463206,1.529073,2.1853932,2.1717294,1.8173948,2.1033024,3.9940266,2.794351,2.034913,1.8048912,2.4112056,2.021379,2.3239454,1.2123178,2.3791806,1.694678,1.6331702,2.14119,2.4480616,1.719788,1.240023,2.2747374,1.928526,2.3197774,2.0487862,2.4421612,2.5519724,1.5955296,1.978265,1.7979576,1.9886692,1.193767
HNRNPUL2,20.580437,25.865654,10.909602,10.095304,27.724482,17.256083,11.94198,10.790363,25.092697,10.135199,25.937979,18.041161,3.681231,24.14152,18.305443,7.741167,4.476714,11.592118,27.445723,10.165766,18.986378,17.422842,25.153397,25.555141,24.835026,4.941351,26.40102,26.130247,23.90913,18.093737,26.254387,14.493646,14.370184,6.800544,23.185455,24.821484
HNRNPUL2-BSCL2,2.694396,0.649163,7.637427,15.881185,1.07965,7.648614,10.735104,16.816231,1.992529,13.012556,4.06969,13.514682,1.788384,1.415181,11.250124,9.553682,11.471712,14.918121,4.27814,12.610085,6.770944,1.15407,0,1.766468,0.188792,4.691283,0,1.094505,0,14.706413,1.303087,0.886538,17.753153,0,3.050004,3.021954
HOMER1,4.876809,4.931296,5.473889,5.058189,5.256598,5.443762,2.327883,2.237831,2.275215,2.510311,2.268126,2.168707,2.03152,2.252857,1.761248,2.096717,1.937782,2.0787,1.982756,1.913857,2.066104,2.163207,2.386688,1.933527,2.820793,2.408638,2.544551,2.199436,2.354115,2.604727,1.511627,1.525678,1.892029,1.79597,1.715098,1.321615
HOMER3,3.0005825,2.9171585,3.0289225,3.03481,2.281315,2.517971,3.729809,2.6986165,3.487318,3.0351005,9.280949,9.512944,2.6709675,3.2567645,4.5654285,4.2971275,3.5296045,3.6328085,2.0217325,3.7299105,2.6864385,3.466876,3.8248305,3.858889,3.167783,3.64585,3.486886,4.145058,4.446498,3.3140645,2.8033545,1.9098025,3.557166,3.552004,4.7880745,4.603368
HOMEZ,4.308426,4.233457,4.105529,4.583304,4.333726,4.431726,4.975367,4.721401,5.029575,5.194165,4.567118,4.535515,5.573476,5.772619,5.821794,5.707622,5.631269,6.019812,5.388538,5.487084,5.326948,5.176208,4.956659,5.373593,5.465443,5.061273,5.192777,5.059049,4.924079,5.175539,5.863882,5.84632,6.183315,5.101366,5.866285,5.752688
HOOK3,7.742121,7.784772,8.104068,8.156507,8.46417,8.438266,6.83368,6.870471,7.075089,6.891185,4.996105,5.281569,8.331879,8.071833,7.648533,7.618661,7.922983,7.839467,7.761005,7.325216,7.86062,7.783906,7.994554,7.809341,8.678682,7.765421,7.53257,7.712878,7.703279,8.280614,8.35707,8.504932,9.442459,9.492676,7.952718,8.103621
